wind_bin,median_power_kw,training_rows
0,-0.6116577634587884,20
1,-0.6156590166501701,244
2,-0.5863165104761722,573
3,-0.8466645153239366,857
4,-1.121950524300337,1384
5,4.699893155694002,2047
6,44.46911773932608,2058
7,86.30226945877075,2154
8,136.92338829040526,2209
9,202.2177642822265,2361
10,285.3617717742921,2438
11,381.62333739431295,2456
12,499.5986980438233,2306
13,650.1672050476076,2187
14,816.2843032836915,2068
15,1001.3837860107426,1813
16,1192.5776641845714,1417
17,1396.891656494142,1271
18,1611.6335784912123,1035
19,1793.0792602539084,901
20,1915.176818847658,583
21,1978.2692596435566,374
22,2020.9127563476586,268
23,2038.4320983886737,195
24,2044.5031738281275,151
25,2047.997839355472,133
26,2050.6025360107446,96
27,2055.0762023925813,63
28,2047.8900665283227,42
29,2051.839276123049,45
30,2043.526269531251,37
31,2046.0626892089872,35
32,2045.5454620361347,26
33,2050.632934570315,21
34,2052.239984130862,13
35,2052.517395019533,19
36,2047.1292480468765,9
37,2038.0284881591815,6
38,2075.455325156766,2
39,2064.505371093752,4
40,2034.092333984377,5
41,2041.3852294921896,1
42,2057.7449584960946,1
